Species,Straight_Carapace_Length_cm,Straight_Carapace_Width_cm,weight_kg
green,27.5,23.4,3.2
green,27.5,23.4,3.2
green,30,23.7,3.2
green,30,23.7,3.2
green,29.7,23.8,3.2
green,29.7,23.8,3.2
green,29.9,23.9,3.2
green,29.9,23.9,3.2
green,29.3,24.1,3.2
green,29.3,24.1,3.2
green,29.3,24.1,3.2
green,29.3,24.1,3.2
green,30.2,24.3,3.2
green,28.9,24.4,3.2
green,28.9,24.4,3.2
green,28.9,24.4,3.2
green,28.9,24.4,3.2
green,29.7,24.4,3.2
green,29.7,24.4,3.2
green,31.1,24.5,3.2
green,31.1,24.5,3.2
green,30.4,24.7,3.2
green,30.4,24.7,3.2
green,30.4,24.7,3.2
green,30.4,24.7,3.2
green,30.1,24.8,3.2
green,30.1,24.8,3.2
green,30.5,25.3,3.2
green,30.5,25.3,3.2
green,30,25.4,3.2
green,30,25.4,3.2
ridley,27.6,26.9,3.2
green,34.2,27.8,3.2
green,34.2,27.8,3.2
ridley,28.4,27,3.22
green,29.2,23.7,3.24
green,29.6,23,3.25
green,29.6,24,3.27
green,30.7,20.4,3.3
green,30.7,20.4,3.3
green,30.7,20.4,3.3
green,30.7,20.4,3.3
green,29.6,24.1,3.3
ridley,27.9,26.5,3.3
ridley,29.1,26.8,3.32
green,29.6,24.3,3.33
green,30.7,25.2,3.34
green,30.8,23.8,3.35
green,30.8,23.8,3.35
green,29.5,23.9,3.35
ridley,28.9,26.8,3.35
green,31.6,23.3,3.4
green,29.6,23.7,3.4
green,30.9,23.7,3.4
green,30.9,23.7,3.4
green,30,23.8,3.4
green,30,23.8,3.4
green,30,23.8,3.4
green,30,23.8,3.4
green,30.8,24,3.4
green,30.8,24,3.4
green,29.9,24.3,3.4
green,29.9,24.3,3.4
green,30.1,24.3,3.4
green,30.1,24.3,3.4
green,30.3,24.6,3.4
green,30.3,24.6,3.4
green,30.3,24.7,3.4
green,30.3,24.7,3.4
green,31.2,24.7,3.4
green,31.2,24.7,3.4
green,29.9,25,3.4
green,29.9,25,3.4
green,30.4,25,3.4
green,30.4,25,3.4
green,31.6,25,3.4
green,31.6,25,3.4
green,31.1,25.1,3.4
green,31.1,25.1,3.4
green,32.8,25.2,3.4
green,32.8,25.2,3.4
green,29.9,25.3,3.4
green,29.9,25.3,3.4
green,30.6,25.3,3.4
green,30.5,25.7,3.4
green,30.5,25.7,3.4
ridley,27.9,25.8,3.4
ridley,29.4,25.8,3.4
ridley,29.4,25.8,3.4
ridley,29.4,25.8,3.4
ridley,29.4,25.8,3.4
green,31.5,25.8,3.4
green,31.5,25.8,3.4
ridley,27.7,25.9,3.4
ridley,27.7,25.9,3.4
ridley,27.7,25.9,3.4
ridley,27.7,25.9,3.4
green,31.2,26.5,3.4
green,31.2,26.5,3.4
green,31.1,27.3,3.4
green,31.1,27.3,3.4
green,31.1,24,3.41
hawksbill,33.1,23.6,3.43
green,31,24.5,3.43
ridley,29.1,26.9,3.48
green,28,22.3,3.5
green,28,22.3,3.5
green,28,22.3,3.5
green,28,22.3,3.5
green,29.3,23.1,3.5
green,29.3,23.1,3.5
green,29.3,23.1,3.5
green,29.3,23.1,3.5
green,30,23.3,3.5
green,30.3,24,3.5
green,30.3,24,3.5
green,30.3,24,3.5
green,30.3,24,3.5
green,31,24.4,3.5
green,31.8,25.1,3.5
ridley,28,26.6,3.5
ridley,29.3,27.1,3.5
ridley,29.3,27.3,3.5
ridley,39.4,37.2,3.5
ridley,39.4,37.2,3.5
ridley,39.4,37.2,3.5
ridley,39.4,37.2,3.5
ridley,29,25,3.52
ridley,28.3,26.7,3.53
green,31.7,26.7,3.55
green,31.9,26.6,3.59
green,30.2,24,3.6
